# ---------------------------------------------------------------------------
# 
# This file contains the network properties of the 299 diseases used in:
# 
# Uncovering Disease-Disease Relationships Through The Human
# Interactome
#
# by Joerg Menche, Amitabh Sharma, Maksim Kitsak, Susan Dina
#    Ghiassian, Marc Vidal, Joseph Loscalzo & Albert-Laszlo Barabasi
#
#
# For details see Section 2.1 of the SOM
#
# FILE FORMAT: 7 tab-separated columns:
#
# Column 1: name of the disease
# Column 2: number of all associated genes
#
# Column 3: size of the largest connected component (LCC)
# Column 4: significance of the LCC size (z-score)
#
# Column 5: mean shortest distance <d_s>
# Column 6: effect size of <d_s> (Glass's delta) 
# Column 7: significance of <d_s> (Mann-Whitney-U test p-value)
#
# ---------------------------------------------------------------------------
# disease	number_of_all_genes	LCC_size	LCC_z_score	d_s	d_s_Glass_delta	d_s_p_value
ectodermal dysplasia	20	3	3.8	2.0	-0.867730729869	0.000271078394615
endocrine gland neoplasms	60	22	19.1	1.66666666667	-0.996880629778	8.61819468491e-10
endocrine system diseases	395	99	4.7	1.57731958763	-0.483808525247	1.35933163337e-18
epilepsy	32	3	2.6	2.08	-0.595880614337	0.0147253961742
esophageal diseases	27	3	2.8	2.0	-0.761534348906	0.000499125920432
exophthalmos	24	2	2.6	2.46153846154	-0.332128248018	0.240268289486
eye diseases	319	12	-0.5	1.63203463203	-0.481145673354	2.73947032393e-15
eye diseases, hereditary	145	10	1.7	1.62931034483	-0.736666765241	2.0567636689e-18
female urogenital diseases	304	75	6.1	1.55947136564	-0.60760243426	1.08479627499e-22
female urogenital diseases and pregnancy complications	315	79	6.1	1.56595744681	-0.5860959228	1.84862326589e-22
gastroenteritis	178	21	5.1	1.85245901639	-0.35304593924	9.70865765684e-05
gastrointestinal diseases	307	95	7.9	1.57264957265	-0.577689496447	1.07866002627e-20
gastrointestinal neoplasms	85	35	21.6	1.41666666667	-1.27661989811	9.56216421755e-26
genetic diseases, inborn	991	587	8.7	1.25058275058	-0.616854239522	5.5171615591e-80
genetic diseases, x-linked	121	7	1.0	1.72897196262	-0.6096273245	3.63403554449e-11
genital diseases, female	45	13	14.1	1.66666666667	-1.11897285226	3.84544832826e-10
genital diseases, male	112	7	1.9	1.94117647059	-0.3494366596	0.000429226697287
genital neoplasms, female	29	12	16.5	1.65384615385	-1.26341850666	1.64660466785e-09
genital neoplasms, male	92	7	3.1	1.97101449275	-0.378774057161	0.00128345617456
glioma	22	3	4.1	2.0	-0.884711459853	0.000570680690274
glomerulonephritis	26	3	3.8	2.44444444444	-0.209181762742	0.195214057963
glucose metabolism disorders	258	15	1.0	1.82857142857	-0.259163327946	0.000175755726468
goiter	31	2	2.0	2.5	-0.173605925556	0.210714830117
gonadal disorders	72	19	13.2	1.67213114754	-0.919159374403	5.21928966979e-12
gout	22	1	-0.3	2.53846153846	-0.175362343395	0.157198648109
gram-positive bacterial infections	35	4	4.9	1.45454545455	-1.6153928266	1.11766816978e-11
graves disease	24	2	2.5	2.46153846154	-0.302467286815	0.261129433253
hair diseases	27	2	1.6	2.0	-0.897564556957	0.000425699369801
head and neck neoplasms	47	4	2.9	1.68571428572	-1.09512556606	7.90151101085e-10
heart arrest	20	1	-0.4	2.33333333333	-0.475546584904	0.0130401033558
heart defects, congenital	66	5	2.7	1.72549019608	-0.887751368665	5.69356056546e-09
heart diseases	213	39	5.6	1.65269461078	-0.570908267612	8.30224876482e-15
hematologic diseases	201	109	14.9	1.32446808511	-1.08492309698	2.20665833344e-56
hemic and lymphatic diseases	327	168	9.7	1.31707317073	-0.928590449694	8.37190796589e-63
hemorrhagic disorders	59	22	17.6	1.38181818182	-1.39396253831	1.96673041774e-25
hemostatic disorders	24	3	3.6	1.8	-1.13111243686	1.04232752172e-05
hereditary sensory and motor neuropathy	59	5	2.6	1.78846153846	-0.782947240791	2.38691464254e-08
heredodegenerative disorders, nervous system	227	53	6.0	1.55897435897	-0.669831644929	1.2490838638e-22
hyperinsulinism	45	3	2.5	2.38461538461	-0.132731913064	0.458882400112
hypersensitivity	61	3	1.0	1.95555555555	-0.563471507263	2.91996747988e-05
hypersensitivity, immediate	61	3	1.0	1.95555555555	-0.561886785532	3.12618543669e-05
hyperthyroidism	24	2	2.5	2.46153846154	-0.308473154631	0.259681079101
hypopigmentation	30	7	10.1	1.54545454545	-1.51646528831	1.47510768567e-09
hypothalamic diseases	27	2	1.2	2.0	-0.786339565385	0.000406378215625
hypotrichosis	23	2	2.3	1.92857142857	-1.11066192743	0.000638955429643
immune system diseases	559	209	6.0	1.46287128713	-0.55590528013	5.54538108455e-34
immunologic deficiency syndromes	51	7	4.9	1.55319148936	-1.19779003847	1.28207210579e-14
immunoproliferative disorders	119	30	12.3	1.51041666667	-1.00807758537	4.34219839885e-24
infant, newborn, diseases	55	4	2.0	1.87234042553	-0.681869221159	2.97112331887e-06
inflammatory bowel diseases	175	21	5.4	1.8487394958	-0.371688106643	5.18890502932e-05
insulin resistance	45	3	2.5	2.38461538461	-0.117944540342	0.491665386259
intellectual disability	101	14	5.7	1.7816091954	-0.606684635341	1.19615540247e-08
intestinal diseases	265	60	6.8	1.65482233503	-0.511746109886	4.92705702201e-14
intestinal neoplasms	51	16	15.8	1.47619047619	-1.34217634031	1.58280991469e-16
joint diseases	110	17	8.5	1.84810126583	-0.528803658711	5.02968941833e-06
keratosis	27	4	5.1	1.95238095238	-0.878229296629	6.9603779712e-05
kidney diseases	188	17	2.6	1.65972222222	-0.61343019296	2.59146979976e-15
kidney neoplasms	25	3	3.5	1.95	-0.904633186764	0.000140227554019
leprosy	24	3	5.6	1.61538461538	-1.62305240846	2.2735803539e-06
leukemia	131	59	18.8	1.49572649573	-0.975711351432	5.63756755932e-27
leukemia, b-cell	24	2	1.8	2.11764705882	-0.73039351493	0.0289086500285
leukemia, lymphocytic, chronic, b-cell	22	2	2.2	2.26666666667	-0.540684927515	0.088984977491
leukemia, lymphoid	78	13	7.9	1.66666666667	-0.893975650341	2.72481381015e-12
leukemia, myeloid	56	24	19.9	1.66666666666	-0.974206873373	9.6431267434e-12
leukemia, myeloid, acute	43	17	16.9	1.67441860465	-1.02973410054	5.90104556508e-10
limb deformities, congenital	21	4	5.6	2.1052631579	-0.71842441273	0.00611974302342
lipid metabolism disorders	56	14	11.8	1.54	-1.19170461904	2.42879725538e-15
lipid metabolism, inborn errors	51	14	12.7	1.53333333333	-1.22825828327	1.01340494645e-14
lipidoses	29	14	21.3	1.6	-1.3359210312	2.1709211294e-08
liver cirrhosis	34	2	1.1	2.125	-0.55402762521	0.00109324056732
liver cirrhosis, biliary	32	2	1.1	2.04347826087	-0.701507667051	0.00531531550261
liver diseases	87	10	4.8	1.70422535211	-0.801355439185	6.69321419786e-11
lung diseases	94	13	6.9	1.78873239437	-0.666114562176	6.44643552549e-09
lung diseases, obstructive	53	4	2.5	2.0	-0.541005425512	0.000475638634705
lung neoplasms	24	5	8.1	2.0	-0.866550075822	0.00154780825949
lupus erythematosus, systemic	117	5	1.2	1.78666666667	-0.65330573089	5.61721159265e-08
lymphatic diseases	142	35	11.3	1.5221238938	-0.937319353147	1.151310695e-24
lymphoma	35	2	1.1	1.95833333333	-0.818620480779	0.00011611839305
lymphoma, non-hodgkin	27	2	1.2	1.81818181818	-1.08283017704	5.214489576e-06
lymphoproliferative disorders	126	35	13.5	1.48514851485	-1.03665917621	6.29332821614e-27
lysosomal storage diseases	51	24	23.0	1.51111111111	-1.29041227413	2.78059626529e-14
lysosomal storage diseases, nervous system	36	15	17.5	1.70588235294	-1.06594440691	2.02874460243e-08
macular degeneration	55	8	6.7	2.04545454546	-0.430130151304	0.00492244229398
malabsorption syndromes	45	2	0.3	2.22222222222	-0.231781833949	0.0512751178455
male urogenital diseases	366	36	0.9	1.60439560439	-0.466753935481	3.83270045275e-17
malformations of cortical development	23	4	5.4	2.0	-0.823202405164	0.000660567379308
mental retardation, x-linked	72	5	2.0	1.81967213115	-0.667520593452	9.40947788334e-08
metabolic diseases	723	267	4.2	1.36815068493	-0.566490100778	9.61417321305e-47
metabolic syndrome x	20	3	5.1	2.35714285714	-0.4266219545	0.134834174523
metabolism, inborn errors	329	63	2.4	1.34948096886	-0.882073303765	2.34099117793e-58
metal metabolism, inborn errors	21	2	1.7	2.05555555556	-0.783355992257	0.0468247402313
mitochondrial diseases	59	16	12.8	1.56603773585	-1.12545664246	1.84504474571e-14
motor neuron disease	37	2	0.6	1.96774193548	-0.714909913098	0.000800627657109
mouth diseases	50	2	1.0	2.33333333333	-0.221752600919	0.184109631559
movement disorders	75	8	5.4	1.88461538462	-0.620246857135	4.79801617168e-06
multiple sclerosis	108	11	5.8	1.85507246377	-0.5671769626	2.61417176995e-06
muscular diseases	71	17	10.4	1.57575757576	-1.0344385257	3.51918077425e-16
muscular disorders, atrophic	36	12	13.6	1.51515151515	-1.39353667922	6.57079457256e-13
muscular dystrophies	39	12	13.1	1.61111111111	-1.19839818286	2.34523197545e-11
musculoskeletal abnormalities	68	34	25.1	1.43548387097	-1.29548143126	6.50558979615e-22
musculoskeletal diseases	361	144	7.5	1.49831649832	-0.61694468657	1.10977456754e-29
mycobacterium infections	35	4	4.9	1.45454545455	-1.62253149958	7.89204419818e-12
myeloproliferative disorders	21	6	9.8	1.73684210526	-1.2525648529	1.76183657936e-06
myocardial infarction	21	1	-0.3	2.84615384615	0.254327263001	0.0614766817098
myocardial ischemia	59	2	0.1	2.25581395349	-0.113344163662	0.148217473368
neoplasms	606	296	7.3	1.36514522821	-0.646214347165	1.01728673147e-50
neoplasms by histologic type	335	161	9.7	1.37722419929	-0.840870536632	6.99173429126e-50
neoplasms by site	336	120	8.5	1.52734375	-0.623949724412	9.03988823916e-26
neoplasms, connective and soft tissue	43	9	8.1	1.41463414634	-1.46791672107	3.56753677489e-19
neoplasms, connective tissue	30	8	9.6	1.27586206897	-1.81495403495	2.52986131136e-16
neoplasms, germ cell and embryonal	71	12	9.4	1.75	-0.850618085576	5.67764871643e-09
neoplasms, glandular and epithelial	107	37	17.5	1.58426966292	-0.91780843754	2.0693985992e-18
neoplasms, nerve tissue	65	11	8.9	1.73469387755	-0.887428802732	3.83183807553e-09
neoplasms, neuroepithelial	35	3	2.8	1.83333333333	-1.0029758896	4.8634098242e-06
neoplastic syndromes, hereditary	37	20	23.9	1.38235294118	-1.59531071698	2.85048610422e-16
nephritis	30	3	3.1	2.13636363636	-0.582236116804	0.0151283761186
nervous system diseases	871	398	6.1	1.37359550562	-0.475177449047	1.39473765799e-41
nervous system malformations	113	14	4.3	1.62376237624	-0.801140262904	6.91767597121e-17
neurobehavioral manifestations	106	14	5.2	1.8152173913	-0.523846007654	5.66124688968e-08
neurodegenerative diseases	281	81	7.1	1.52863436123	-0.678396052702	3.59116813726e-27
neuroectodermal tumors	63	10	8.0	1.74468085106	-0.886280758079	7.91477157898e-09
neuroendocrine tumors	29	5	6.1	1.75	-1.12189763123	4.8078606144e-07
neurologic manifestations	199	36	5.1	1.73964497041	-0.424203915607	7.83769768717e-09
neuromuscular diseases	181	49	8.1	1.51533742331	-0.81077536015	1.58378410153e-27
nevi and melanomas	21	2	2.0	2.25	-0.559424283189	0.0219114684311
nutrition disorders	32	3	3.0	2.04545454545	-0.725797920762	0.00446899217662
nutritional and metabolic diseases	744	270	4.0	1.37353433836	-0.545035488195	7.14604520788e-45
obesity	21	3	5.5	1.92307692307	-1.13827477303	0.00176852191548
ocular motility disorders	20	2	1.8	2.35294117647	-0.347161648287	0.130291376646
orbital diseases	24	2	2.5	2.46153846154	-0.32325836902	0.247167803472
osteochondrodysplasias	56	7	4.6	1.80392156863	-0.757163566448	7.72710818535e-08
osteoporosis	23	2	2.4	2.5	-0.231798257333	0.49590446342
otorhinolaryngologic diseases	54	5	4.6	2.15625	-0.380735091676	0.0653241418261
ovarian diseases	33	8	10.3	1.69230769231	-1.20419567941	9.13860821794e-09
ovarian neoplasms	20	7	13.2	1.70588235294	-1.37446688828	2.35040547712e-06
overnutrition	21	3	5.3	1.92307692307	-1.15186746844	0.00173322822033
overweight	21	3	5.5	1.92307692307	-1.14682378201	0.00161572132098
pancreatic diseases	29	5	6.1	2.16666666667	-0.49263602799	0.0331117023092
panuveitis	33	2	2.6	2.15384615385	-0.813829730091	0.0035717549086
parkinson disease	50	7	7.9	2.13333333333	-0.459398921464	0.0175917547318
parkinsonian disorders	51	7	7.6	2.16129032258	-0.386843928755	0.00847882245524
pathologic processes	78	5	1.8	1.8125	-0.660714590374	1.10306216389e-07
pathological conditions, anatomical	24	2	2.0	2.1875	-0.637099091777	0.0092034812434
pathological conditions, signs and symptoms	252	17	0.8	1.75647668394	-0.344826673485	2.30652508188e-08
peripheral nervous system diseases	75	5	1.7	1.65671641791	-0.902460827771	5.45070850985e-14
peroxisomal disorders	20	17	30.3	1.05	-2.29393089279	1.41944151892e-16
pigmentation disorders	52	7	5.5	1.40909090909	-1.44744376078	2.64635673163e-18
polyneuropathies	68	5	2.0	1.63934426229	-0.967809910854	2.7120830959e-14
precursor cell lymphoblastic leukemia-lymphoma	45	11	10.7	1.6	-1.18129921137	6.33934601412e-13
prostatic diseases	83	6	2.9	1.96721311475	-0.438693627045	0.00120518788308
prostatic neoplasms	83	6	2.9	1.96721311475	-0.428210556598	0.00149394624148
proteinuria	29	1	-0.4	3.14285714286	0.796628308208	0.00229065505833
proteostasis deficiencies	40	12	12.8	1.62857142857	-1.1877425744	3.84992545002e-12
psoriasis	77	5	2.5	1.81481481481	-0.724337234686	1.85751496876e-08
purine-pyrimidine metabolism, inborn errors	25	2	2.0	2.25	-0.54386286587	0.0265906809343
rectal diseases	40	10	11.5	1.61290322581	-1.26562560779	3.10356929777e-11
renal tubular transport, inborn errors	40	3	1.8	1.81818181818	-0.901282489212	3.17059956916e-06
respiratory hypersensitivity	52	3	1.4	2.0	-0.565171307431	0.000322800837512
respiratory tract diseases	115	13	5.4	1.82142857143	-0.54466213417	3.10520082271e-07
respiratory tract neoplasms	24	5	8.0	2.0	-0.881340305418	0.00130702138505
retinal degeneration	132	8	1.5	1.73076923077	-0.611819607677	9.53659972637e-12
retinal diseases	151	8	0.9	1.76470588235	-0.507297549493	8.93929677325e-09
retinal dystrophies	81	8	4.1	1.72307692308	-0.804975632183	7.68560954276e-12
retinitis pigmentosa	79	7	3.4	1.71875	-0.819194806262	1.61463823722e-10
rheumatic diseases	79	10	6.2	1.98305084746	-0.414140149903	0.00158979569447
sarcoma	27	7	9.1	1.52	-1.49447426114	2.82889107654e-11
sensation disorders	25	5	9.2	2.125	-0.758267478698	0.0150019772685
signs and symptoms	153	5	0.0	2.02586206896	-0.0749760820348	0.184361747957
skin abnormalities	73	12	7.1	1.61538461539	-0.967151712428	6.83985195395e-16
skin and connective tissue diseases	506	201	6.4	1.39686684073	-0.69176210046	2.44063769946e-47
skin diseases	363	114	6.5	1.42086330935	-0.768928524466	1.38089469659e-41
skin diseases, genetic	132	26	7.5	1.4358974359	-1.06630376447	4.76963092782e-32
skin diseases, papulosquamous	77	5	2.5	1.81481481481	-0.719484076398	2.0008177305e-08
skin diseases, vascular	38	2	1.8	2.17647058824	-0.6298353428	0.00731439274799
sleep disorders	21	2	1.6	1.84210526316	-1.0982146971	1.19339623228e-05
spastic paraplegia, hereditary	24	1	-0.5	2.3	-0.377098435597	0.0331784277063
spinal cord diseases	71	10	6.4	1.6779661017	-0.909368870549	9.0556592562e-12
spinal diseases	37	4	4.7	1.78260869565	-1.10796441929	1.04790268819e-06
spinocerebellar ataxias	34	2	0.8	1.89285714286	-0.861933444747	8.7487808341e-06
spinocerebellar degenerations	36	2	0.7	1.93333333333	-0.766525728804	1.81383649697e-06
spondylarthritis	28	4	6.1	1.83333333333	-1.12454788715	6.08603037708e-05
spondylarthropathies	28	4	6.1	1.83333333333	-1.16270186057	4.0418811657e-05
spondylitis	28	4	6.1	1.83333333333	-1.13131136742	5.76269179287e-05
spondylitis, ankylosing	21	1	-0.3	2.66666666667	-0.0508636516109	0.216359602341
stomatognathic diseases	73	2	0.2	2.32432432432	-0.0315525725448	0.28302263455
stomatognathic system abnormalities	23	1	-0.4	2.71428571428	0.179694158646	0.462744284563
tauopathies	42	9	9.6	1.8	-0.920645537222	6.37611606748e-07
tdp-43 proteinopathies	30	4	4.3	1.8	-1.05052034721	9.6896173977e-07
thoracic neoplasms	26	6	9.4	1.95	-0.887786067758	0.000346142209591
thyroid diseases	48	3	2.1	2.2	-0.335220100639	0.061872732189
urination disorders	32	2	1.8	2.8125	0.343055163997	0.0365708573909
urogenital abnormalities	36	9	10.3	1.4375	-1.54607963901	2.13177699912e-14
urogenital neoplasms	156	33	9.3	1.68595041322	-0.635173262085	4.65981077279e-13
urologic diseases	235	20	2.0	1.64912280702	-0.574225525679	2.44124917592e-16
urologic neoplasms	41	5	4.8	1.77419354839	-0.997021032503	4.42956755058e-07
urological manifestations	29	1	-0.4	3.14285714286	0.809509178484	0.00213581703785
uveal diseases	38	3	4.1	2.17647058824	-0.647488644196	0.0122623955267
uveitis	33	2	2.6	2.15384615385	-0.784409880464	0.00461065778593
uveitis, anterior	33	2	2.5	2.15384615385	-0.776962314737	0.0048380823196
varicose veins	45	1	-0.5	2.6	0.106591156459	0.322992088543
vascular diseases	272	53	7.3	1.66850828729	-0.514162306653	4.30654111873e-13
vasculitis	36	2	2.2	2.13333333333	-0.738484378706	0.00273503178569
virus diseases	22	2	2.2	2.0	-0.956286193322	0.000245454245586
vision disorders	25	5	9.1	2.25	-0.549457965802	0.104048802678
